Complaint ID,Product,Sub-product,Issue,Sub-issue,State,ZIP code,Company,Company response,Timely response?,Consumer disputed?,Delivery Time
1291006,Debt collection,,Communication tactics,Frequent or repeated calls,TX,76119,"Premium Asset Services, LLC",In progress,Yes,,0
1290580,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt is not mine,TX,77479,Accounts Receivable Consultants Inc.,Closed with explanation,Yes,,0
1290564,Mortgage,FHA mortgage,"Application, originator, mortgage broker",,MA,2127,RBS Citizens,Closed with explanation,Yes,Yes,0
1291615,Credit card,,Other,,CA,92592,Navy FCU,In progress,Yes,,0
1292165,Debt collection,Non-federal student loan,Cont'd attempts collect debt not owed,Debt resulted from identity theft,,43068,Transworld Systems Inc.,In progress,Yes,,0
1291176,Debt collection,Payday loan,Communication tactics,Called after sent written cease of comm,OH,43068,ACE Cash Express Inc.,In progress,Yes,,0
1288848,Consumer loan,Installment loan,Managing the loan or lease,,OH,44241,"CashCall, Inc.",Closed with explanation,Yes,Yes,0
1288788,Debt collection,Payday loan,Communication tactics,Called after sent written cease of comm,CA,95124,ACE Cash Express Inc.,Closed with explanation,Yes,,0
1288324,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,NJ,7067,"Credit Protection Association, L.P.",Closed with non-monetary relief,Yes,,0
1288304,Debt collection,Payday loan,Taking/threatening an illegal action,Threatened arrest/jail if do not pay,TX,77433,Cottonwood Financial Ltd.,Closed with explanation,Yes,Yes,0
1289772,Debt collection,"Other (phone, health club, etc.)",False statements or representation,Impersonated an attorney or official,ND,58237,Niagara Portfolio Solutions LLC,Closed with explanation,Yes,,0
1288903,Bank account or service,Other bank product/service,Deposits and withdrawals,,RI,2893,Santander Bank US,In progress,Yes,,0
1289633,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,CO,80301,"FAIR COLLECTIONS & OUTSOURCING, INC.",Closed with explanation,Yes,,0
1289273,Payday loan,,Can't contact lender,,TX,78205,ACE Cash Express Inc.,In progress,Yes,,0
1289900,Debt collection,"Other (phone, health club, etc.)",Disclosure verification of debt,Not given enough info to verify debt,UT,84405,Account Liquidation Services Inc.,Closed with non-monetary relief,Yes,Yes,0
1290486,Debt collection,,Disclosure verification of debt,Not given enough info to verify debt,AL,36756,"Expert Global Solutions, Inc.",In progress,Yes,,1
1289049,Debt collection,"Other (phone, health club, etc.)",False statements or representation,Attempted to collect wrong amount,PA,19140,"Mercantile Adjustment Bureau, LLC",Closed with explanation,Yes,,0
1288962,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt is not mine,TX,77099,"Amsher Collection Services, Inc.",Closed with explanation,Yes,,0
1289394,Debt collection,"Other (phone, health club, etc.)",Communication tactics,Used obscene/profane/abusive language,CA,92069,"Recovery One, LLC",Closed with explanation,Yes,,0
1288148,Debt collection,"Other (phone, health club, etc.)",Disclosure verification of debt,Right to dispute notice not received,NY,10470,"CMRE Financial Services, Inc.",Closed with explanation,Yes,,0
1288098,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",,NC,28110,Flagstar Bank,In progress,Yes,,0
1288375,Debt collection,"Other (phone, health club, etc.)",Improper contact or sharing of info,Contacted employer after asked not to,GA,30058,Rent Recovery Solutions,Closed with explanation,Yes,,0
1289844,Debt collection,,Improper contact or sharing of info,Contacted me after I asked not to,IL,60411,"Municipal Collections Services, Inc.",Closed with explanation,Yes,Yes,0
1290474,Debt collection,Payday loan,Communication tactics,Threatened to take legal action,CA,92592,ACE Cash Express Inc.,Closed with explanation,Yes,,1
1286761,Consumer loan,Vehicle loan,Problems when you are unable to pay,,WI,53183,Ally Financial Inc.,In progress,Yes,,0
1286755,Bank account or service,Checking account,"Account opening, closing, or management",,IL,60628,JPMorgan Chase,Closed with explanation,Yes,,1
1286639,Credit reporting,,Incorrect information on credit report,Account terms,MI,48091,TransUnion,Closed with explanation,Yes,,0
1286559,Debt collection,Credit card,Cont'd attempts collect debt not owed,Debt was discharged in bankruptcy,FL,33990,"Expert Global Solutions, Inc.",In progress,Yes,,0
1286777,Bank account or service,Checking account,"Account opening, closing, or management",,FL,32713,Wells Fargo,Closed with explanation,Yes,,1
1287586,Mortgage,Conventional adjustable mortgage (ARM),"Loan servicing, payments, escrow account",,CA,95032,"Bayview Loan Servicing, LLC",In progress,Yes,,0
1287135,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt is not mine,CT,6611,"CCS Financial Services, Inc.",Closed with explanation,Yes,Yes,0
1287567,Debt collection,Medical,False statements or representation,Attempted to collect wrong amount,OR,97233,"CMRE Financial Services, Inc.",In progress,Yes,,0
1287501,Debt collection,"Other (phone, health club, etc.)",Disclosure verification of debt,Not given enough info to verify debt,GA,30518,"Aldous & Associates, PLLC",Closed with explanation,Yes,,0
1288242,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,CA,91205,"Bayview Loan Servicing, LLC",In progress,Yes,,1
1288281,Debt collection,"Other (phone, health club, etc.)",False statements or representation,Attempted to collect wrong amount,VA,22180,"Debt Recovery Solutions, LLC",Closed with explanation,Yes,,1
1289846,Credit reporting,,Incorrect information on credit report,Account status,WA,98502,TransUnion,Closed with explanation,Yes,,1
1289847,Credit reporting,,Incorrect information on credit report,Account status,WA,98502,TransUnion,Closed with explanation,Yes,,1
1289788,Consumer loan,Vehicle loan,Problems when you are unable to pay,,PA,19149,Ally Financial Inc.,In progress,Yes,,1
1288284,Debt collection,Credit card,Taking/threatening an illegal action,Threatened to sue on too old debt,TN,38305,"Fenton & McGarvey Law Firm, P.S.C.",Closed with explanation,Yes,,1
1286791,Money transfers,Domestic (US) money transfer,Other transaction issues,,AL,35115,MoneyGram,In progress,Yes,,0
1287677,Credit reporting,,Credit reporting company's investigation,Investigation took too long,MI,48334,"Early Warning Services, LLC",Closed with explanation,Yes,,0
1288263,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,WI,53579,BMO Harris,Closed with explanation,Yes,,1
1287783,Credit card,,Delinquent account,,PA,19406,Amex,Closed with explanation,Yes,Yes,0
1287765,Consumer loan,Vehicle loan,Problems when you are unable to pay,,IL,61554,Navy FCU,In progress,Yes,,0
1288273,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,MD,21704,"Credit Protection Association, L.P.",Closed with explanation,Yes,,1
1286793,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,FL,33063,Stellar Recovery Inc.,Closed with explanation,Yes,,0
1288199,Debt collection,,Cont'd attempts collect debt not owed,Debt is not mine,IA,51526,Synergetic Communication Inc,Closed with explanation,Yes,Yes,0
1287753,Debt collection,,Cont'd attempts collect debt not owed,Debt is not mine,CA,94610,Niagara Portfolio Solutions LLC,Closed,Yes,,0
1285893,Credit card,,Other,,MI,48088,Amex,Closed with explanation,Yes,,0
1285956,Debt collection,,Disclosure verification of debt,Not given enough info to verify debt,FL,33462,Citibank,Closed with explanation,Yes,,0
1286966,Credit card,,Late fee,,GA,30075,Wells Fargo,Closed with monetary relief,Yes,,0
1287395,Consumer loan,Vehicle loan,Taking out the loan or lease,,KY,42223,Navy FCU,In progress,Yes,,0
1287443,Credit reporting,,Incorrect information on credit report,Personal information,MI,48473,TransUnion,Closed with non-monetary relief,Yes,,0
1286928,Consumer loan,Vehicle loan,Taking out the loan or lease,,NY,11415,Ally Financial Inc.,In progress,Yes,,0
1287315,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt is not mine,FL,34473,Transworld Systems Inc.,In progress,Yes,,0
1287293,Consumer loan,Vehicle loan,Problems when you are unable to pay,,WI,53105,Ally Financial Inc.,In progress,Yes,,0
1287285,Bank account or service,Checking account,"Account opening, closing, or management",,CA,90801,JPMorgan Chase,Closed with explanation,Yes,,1
1287601,Debt collection,,Communication tactics,Called outside of 8am-9pm,LA,70774,"Receivable Recovery Services, LLC",In progress,Yes,,0
1286199,Debt collection,,Improper contact or sharing of info,Contacted me after I asked not to,NC,27205,"ONLINE Information Services, Inc.",Closed with explanation,Yes,,0
1286421,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt was discharged in bankruptcy,IL,61032,Armor Systems Corporation,Closed,Yes,Yes,0
1286515,Credit reporting,,Incorrect information on credit report,Public record,CO,80540,First Advantage Corporation,Closed with explanation,Yes,,0
1286004,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,OK,73072,"Franklin Collection Service, Inc.",Closed with explanation,Yes,,0
1286368,Debt collection,"Other (phone, health club, etc.)",Disclosure verification of debt,Not given enough info to verify debt,MA,2038,"Associated Credit Services, Inc.",In progress,Yes,,0
1286384,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt was paid,IL,62704,MiraMed Revenue Group LLC,Closed,Yes,,0
1286200,Debt collection,Medical,Improper contact or sharing of info,Talked to a third party about my debt,TN,37074,Transworld Systems Inc.,In progress,Yes,,0
1286314,Mortgage,FHA mortgage,Credit decision / Underwriting,,NE,68135,LoanDepot,Closed with explanation,Yes,Yes,0
1286211,Consumer loan,Personal line of credit,Managing the line of credit,,IA,50317,Wells Fargo,Closed with explanation,Yes,,1
1286231,Payday loan,,Can't stop charges to bank account,,KS,66606,Speedy Cash Holdings,Closed with explanation,Yes,Yes,0
1286224,Debt collection,,Cont'd attempts collect debt not owed,Debt is not mine,MO,63040,Springleaf Finance Corporation,In progress,Yes,,0
1285422,Payday loan,,Charged fees or interest I didn't expect,,TX,76205,ACE Cash Express Inc.,In progress,Yes,,0
1284912,Payday loan,,Can't contact lender,,OR,97070,"CashCall, Inc.",Closed with explanation,Yes,,0
1284746,Bank account or service,(CD) Certificate of deposit,"Account opening, closing, or management",,NH,3753,Wells Fargo,Closed with explanation,Yes,,2
1284068,Credit reporting,,Improper use of my credit report,Report improperly shared by CRC,OH,44121,TransUnion,Closed with explanation,Yes,,0
1287644,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,CO,80516,Bank of America,In progress,Yes,,1
1288174,Debt collection,,Cont'd attempts collect debt not owed,Debt is not mine,MD,21085,"Premium Asset Services, LLC",In progress,Yes,,1
1286165,Debt collection,Medical,Communication tactics,Threatened to take legal action,WA,98311,"P.S.C., Inc",Closed with explanation,Yes,,1
1286144,Debt collection,,Cont'd attempts collect debt not owed,Debt is not mine,CA,91355,"Acquired Assets, Ltd.",Closed with explanation,Yes,,1
1286143,Credit reporting,,Incorrect information on credit report,Public record,CA,90280,TransUnion,Closed with explanation,Yes,,1
1286134,Debt collection,,Communication tactics,Threatened to take legal action,IN,46307,JPMorgan Chase,Closed with explanation,Yes,,1
1284406,Bank account or service,Checking account,Using a debit or ATM card,,CA,92844,Navy FCU,In progress,Yes,,0
1284387,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,NC,28365,"Diversified Adjustment Service, Inc.",Closed with explanation,Yes,,0
1283979,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",,OH,43204,Bank of America,In progress,Yes,,0
1283784,Credit card,,Delinquent account,,CA,90201,First National Bank of Omaha,Closed with explanation,Yes,Yes,0
1283880,Consumer loan,Vehicle loan,Problems when you are unable to pay,,FL,33179,Nissan Motor Acceptance Corporation,In progress,Yes,,0
1283819,Credit reporting,,Incorrect information on credit report,Account terms,ND,58104,TransUnion,Closed with explanation,Yes,,0
1283806,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,CA,95132,"Select Portfolio Servicing, Inc",Closed with explanation,Yes,,0
1283881,Consumer loan,Vehicle loan,Problems when you are unable to pay,,FL,33179,Mercedes-Benz Financial Services,Closed with explanation,Yes,,0
1283920,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,GA,30093,"Pinnacle Recovery, Inc.",Closed with explanation,Yes,Yes,0
1283913,Consumer loan,Vehicle lease,Problems when you are unable to pay,,FL,33154,Ally Financial Inc.,In progress,Yes,,0
1284333,Credit reporting,,Incorrect information on credit report,Personal information,MI,48237,TransUnion,Closed with non-monetary relief,Yes,Yes,0
1283995,Debt collection,Medical,Improper contact or sharing of info,Talked to a third party about my debt,WA,98115,Renton Collections Inc.,Closed with explanation,Yes,Yes,0
1284095,Credit card,,Billing statement,,CA,94709,Wells Fargo,Closed with explanation,Yes,,0
1284000,Bank account or service,Checking account,Problems caused by my funds being low,,PA,19064,Santander Bank US,In progress,Yes,,2
1284115,Credit card,,Other,,OH,43702,Wells Fargo,Closed with explanation,Yes,,0
1284284,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",,NJ,8059,Santander Bank US,In progress,Yes,,0
1284197,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt was paid,PA,18102,"Professional Medical Management, Inc.",Closed with non-monetary relief,Yes,,0
1284165,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,DC,20008,"PrimeLending, A PlainsCapital Company",In progress,Yes,,0
1284230,Consumer loan,Vehicle loan,Managing the loan or lease,,NC,27707,BB&T Financial,Closed with explanation,Yes,,0
1285212,Consumer loan,Vehicle lease,Managing the loan or lease,,NH,3290,Nissan Motor Acceptance Corporation,In progress,Yes,,0
1284552,Debt collection,,Cont'd attempts collect debt not owed,Debt is not mine,FL,32086,Transworld Systems Inc.,Closed with explanation,Yes,,0
1284412,Debt collection,"Other (phone, health club, etc.)",Communication tactics,Threatened to take legal action,NV,89148,"First Service Residential, Nevada, LLC",Closed with explanation,Yes,Yes,0
1284660,Debt collection,"Other (phone, health club, etc.)",Improper contact or sharing of info,Contacted employer after asked not to,TX,77062,"Certified Recovery Systems, Inc.",Closed with non-monetary relief,Yes,,0
1284638,Debt collection,"Other (phone, health club, etc.)",Disclosure verification of debt,Right to dispute notice not received,AL,36054,"Enhanced Recovery Company, LLC",Closed with non-monetary relief,Yes,,0
1284632,Student loan,Non-federal student loan,Can't repay my loan,,MI,49504,JPMorgan Chase,Closed with explanation,Yes,,0
1284619,Consumer loan,Vehicle loan,Taking out the loan or lease,,NC,27519,Toyota Motor Credit Corporation,Closed with explanation,Yes,,0
1284567,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,CA,95757,American Coradius International LLC,Closed with explanation,Yes,,0
1285211,Credit reporting,,Incorrect information on credit report,Account status,OK,73189,TransUnion,Closed with explanation,Yes,,0
1284903,Consumer loan,Vehicle loan,Problems when you are unable to pay,,KY,41048,Ally Financial Inc.,In progress,Yes,,0
1284692,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt resulted from identity theft,FL,32789,"The CMI Group, Inc.",Closed with explanation,Yes,,1
1284673,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,KY,40047,Citibank,Closed with monetary relief,Yes,,0
1284896,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,MD,20602,"Bayview Loan Servicing, LLC",In progress,Yes,,0
1284851,Debt collection,Mortgage,Improper contact or sharing of info,Contacted me after I asked not to,CA,93065,"JH Portfolio Debt Equities, LLC",Closed with explanation,Yes,,0
1284763,Credit reporting,,Incorrect information on credit report,Account terms,GA,30338,TransUnion,Closed with explanation,Yes,,0
1285160,Bank account or service,Checking account,"Making/receiving payments, sending money",,MD,20901,JPMorgan Chase,Closed with explanation,Yes,,0
1284983,Payday loan,,Charged bank acct wrong day or amt,,NJ,8021,ACE Cash Express Inc.,In progress,Yes,,0
1284944,Mortgage,Conventional fixed mortgage,Credit decision / Underwriting,,WA,99403,Arbor Residential Mortgage LLC,In progress,Yes,,0
1284955,Credit reporting,,Incorrect information on credit report,Information is not mine,FL,33063,TransUnion,Closed with explanation,Yes,,0
1285144,Consumer loan,Vehicle lease,Managing the loan or lease,,NY,11725,Nissan Motor Acceptance Corporation,In progress,Yes,,0
1285040,Consumer loan,Installment loan,Managing the loan or lease,,WI,54403,"CashCall, Inc.",Closed with explanation,Yes,,1
1285106,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,TX,77502,Nationstar Mortgage,Closed with explanation,Yes,,0
1285061,Payday loan,,Received a loan I didn't apply for,,MO,63012,Speedy Cash Holdings,Closed,Yes,,0
1286088,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,NY,13440,"Mercantile Adjustment Bureau, LLC",Closed with explanation,Yes,,1
1283757,Consumer loan,Vehicle loan,Managing the loan or lease,,TX,77373,Ally Financial Inc.,In progress,Yes,,0
1285383,Credit reporting,,Incorrect information on credit report,Account status,TX,75169,"On-Site Manager, Inc.",Closed with non-monetary relief,Yes,,0
1285237,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,IL,60620,"Contract Callers, Inc.",Closed,Yes,,0
1285289,Mortgage,Conventional adjustable mortgage (ARM),"Loan servicing, payments, escrow account",,CA,95376,Ocwen,Closed with explanation,Yes,,0
1285841,Debt collection,,Cont'd attempts collect debt not owed,Debt is not mine,MI,48188,Transworld Systems Inc.,In progress,Yes,,0
1285463,Credit reporting,,Credit reporting company's investigation,Problem with statement of dispute,TX,77362,TransUnion,Closed with explanation,Yes,,0
1285447,Bank account or service,Savings account,"Account opening, closing, or management",,NC,28208,"FNIS (Fidelity National Information Services, Inc.)",In progress,Yes,,0
1285435,Student loan,Non-federal student loan,Can't repay my loan,,TX,78251,Wells Fargo,Closed with explanation,Yes,,0
1285840,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,PA,17202,"Convergent Resources, Inc.",Closed with explanation,Yes,,0
1285573,Money transfers,Domestic (US) money transfer,Other service issues,,TN,38141,MoneyGram,In progress,Yes,,0
1285480,Bank account or service,Savings account,"Account opening, closing, or management",,NY,12015,First Niagara Bank,In progress,Yes,,1
1285560,Debt collection,,Disclosure verification of debt,Right to dispute notice not received,ME,4605,"Southwest Credit Systems, L.P.",In progress,Yes,,0
1286087,Money transfers,International money transfer,Money was not available when promised,,TN,37087,Xoom,Closed with explanation,Yes,,1
1286053,Bank account or service,Checking account,Deposits and withdrawals,,CA,95624,Wells Fargo,Closed with explanation,Yes,Yes,0
1284366,Payday loan,,Charged fees or interest I didn't expect,,MO,64052,Speedy Cash Holdings,Closed with explanation,Yes,,0
1286082,Bank account or service,Checking account,Deposits and withdrawals,,TX,75006,JPMorgan Chase,Closed with explanation,Yes,,1
1286132,Credit reporting,,Incorrect information on credit report,Information is not mine,IN,47872,TransUnion,Closed with non-monetary relief,Yes,,1
1286079,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,CT,6478,"CCS Financial Services, Inc.",Closed with explanation,Yes,,1
1286076,Debt collection,Credit card,Cont'd attempts collect debt not owed,Debt is not mine,TX,78501,"Asta Funding, Inc",Closed with explanation,Yes,Yes,1
1286078,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",,NJ,8016,Aurora Financial Group Inc.,Closed with explanation,Yes,,1
1283561,Debt collection,"Other (phone, health club, etc.)",Improper contact or sharing of info,Contacted employer after asked not to,PA,18840,Transworld Systems Inc.,In progress,Yes,,2
1283468,Credit reporting,,Incorrect information on credit report,Public record,TN,37160,"FNIS (Fidelity National Information Services, Inc.)",Closed with explanation,Yes,,0
1283462,Credit reporting,,Incorrect information on credit report,Information is not mine,PA,19124,Equifax,Closed with explanation,Yes,,0
1283463,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,CT,6513,"Enhanced Recovery Company, LLC",Closed with non-monetary relief,Yes,,0
1283492,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,CA,90249,"Enhanced Recovery Company, LLC",Closed with non-monetary relief,Yes,,0
1283484,Credit reporting,,Incorrect information on credit report,Account terms,GA,31313,TransUnion,Closed with explanation,Yes,,0
1283476,Debt collection,"Other (phone, health club, etc.)",Taking/threatening an illegal action,Threatened to sue on too old debt,NJ,7018,Transworld Systems Inc.,In progress,Yes,,0
1283470,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,GA,30333,"Enhanced Recovery Company, LLC",Closed with non-monetary relief,Yes,,0
1283531,Credit reporting,,Incorrect information on credit report,Account status,NY,13044,Equifax,Closed with explanation,Yes,,0
1283672,Credit reporting,,Incorrect information on credit report,Information is not mine,CO,80016,TransUnion,Closed with explanation,Yes,,0
1283560,Mortgage,Home equity loan or line of credit,"Loan modification,collection,foreclosure",,OK,74112,"Green Tree Servicing, LLC",Closed with explanation,Yes,,0
1283586,Credit reporting,,Unable to get credit report/credit score,Problem getting my free annual report,FL,34481,Equifax,Closed with explanation,Yes,,0
1283549,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt was paid,TX,75010,"Synerprise Consulting Services, Inc.",Closed with explanation,Yes,,0
1283584,Bank account or service,Other bank product/service,"Making/receiving payments, sending money",,NJ,8322,Wells Fargo,Closed with explanation,Yes,,0
1283578,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,NM,87108,Transworld Systems Inc.,In progress,Yes,,0
1283562,Debt collection,"Other (phone, health club, etc.)",Improper contact or sharing of info,Contacted employer after asked not to,PA,18840,Army and Air Force Exchange Service,Closed with explanation,Yes,,0
1283610,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt was paid,NY,11365,"ONLINE Information Services, Inc.",Closed with explanation,Yes,,0
1283671,Credit reporting,,Incorrect information on credit report,Public record,NC,27705,Equifax,Closed with explanation,Yes,,0
1283602,Consumer loan,Installment loan,Shopping for a loan or lease,,FL,33971,Wells Fargo,Closed with explanation,Yes,,2
1283600,Debt collection,,Disclosure verification of debt,Not given enough info to verify debt,OH,45895,"Crown Asset Management, LLC",Closed,Yes,Yes,0
1283659,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt is not mine,TX,75054,"ProCollect, Inc",Closed with explanation,Yes,,0
1283626,Credit reporting,,Incorrect information on credit report,Information is not mine,CT,6902,TransUnion,Closed with non-monetary relief,Yes,,0
1283619,Credit reporting,,Incorrect information on credit report,Information is not mine,NY,14034,Equifax,Closed with explanation,Yes,,0
1283457,Credit card,,Delinquent account,,PA,19124,Discover,Closed with explanation,Yes,Yes,1
1283651,Debt collection,Credit card,Cont'd attempts collect debt not owed,Debt was paid,GA,30040,"Amsher Collection Services, Inc.",Closed with explanation,Yes,,0
1283453,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,CA,92078,"Enhanced Recovery Company, LLC",Closed with non-monetary relief,Yes,,0
1283956,Debt collection,Medical,Disclosure verification of debt,Not given enough info to verify debt,TX,75211,"ProCollect, Inc",Closed with explanation,Yes,,1
1283951,Debt collection,,Cont'd attempts collect debt not owed,Debt is not mine,SC,29016,"Designed Receivable Solultions, Inc.",Closed with explanation,Yes,,1
1283272,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt was paid,FL,33137,Transworld Systems Inc.,Closed with explanation,Yes,,0
1283387,Money transfers,Domestic (US) money transfer,Fraud or scam,,NC,27349,MoneyGram,In progress,Yes,,0
1283354,Credit reporting,,Incorrect information on credit report,Personal information,MA,2563,TransUnion,Closed with non-monetary relief,Yes,,0
1283356,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,IL,60649,"Arnold Scott Harris, P.C.",Closed with explanation,Yes,,0
1283350,Bank account or service,(CD) Certificate of deposit,"Account opening, closing, or management",,AZ,85387,Ally Financial Inc.,In progress,Yes,,2
1283339,Debt collection,,Cont'd attempts collect debt not owed,Debt is not mine,FL,34653,"National Enterprise Systems, Inc.",Closed with explanation,Yes,,0
1283333,Credit reporting,,Unable to get credit report/credit score,Problem getting report or credit score,NY,11204,Equifax,Closed with explanation,Yes,,0
1283316,Credit reporting,,Incorrect information on credit report,Reinserted previously deleted info,FL,32835,Equifax,Closed with explanation,Yes,,0
1283196,Mortgage,Home equity loan or line of credit,"Loan servicing, payments, escrow account",,ME,4042,"Green Tree Servicing, LLC",Closed with explanation,Yes,Yes,0
1283180,Credit reporting,,Incorrect information on credit report,Account status,NY,10940,Equifax,In progress,Yes,,0
1283310,Credit reporting,,Credit reporting company's investigation,Problem with statement of dispute,NY,14905,Equifax,In progress,Yes,,0
1283259,Payday loan,,Payment to acct not credited,,TX,77065,Speedy Cash Holdings,Closed with explanation,Yes,,0
1283255,Credit reporting,,Incorrect information on credit report,Personal information,MO,65066,Equifax,Closed with explanation,Yes,,0
1283263,Credit reporting,,Unable to get credit report/credit score,Problem getting report or credit score,TX,79109,Equifax,Closed with explanation,Yes,,0
1283260,Payday loan,,Charged fees or interest I didn't expect,,OR,97801,Red Rock Tribal Lending,Closed with explanation,Yes,,0
1283275,Credit reporting,,Incorrect information on credit report,Public record,OH,44001,Equifax,In progress,Yes,,0
1283295,Mortgage,FHA mortgage,"Loan servicing, payments, escrow account",,PA,19543,Wells Fargo,Closed with explanation,Yes,Yes,0
1283322,Consumer loan,Vehicle loan,Managing the loan or lease,,NY,14215,Ally Financial Inc.,In progress,Yes,,0
1283331,Debt collection,Mortgage,Communication tactics,Frequent or repeated calls,NC,28358,Nationstar Mortgage,Closed with explanation,Yes,,0
1283329,Credit reporting,,Unable to get credit report/credit score,Problem getting my free annual report,CA,91506,Equifax,Closed with non-monetary relief,Yes,,0
1283344,Credit reporting,,Incorrect information on credit report,Information is not mine,OH,43512,Equifax,Closed with non-monetary relief,Yes,,0
1283362,Credit reporting,,Incorrect information on credit report,Account terms,WI,53051,TransUnion,Closed with explanation,Yes,,0
1283359,Debt collection,Auto,Improper contact or sharing of info,Talked to a third party about my debt,FL,32583,"Nicholas Financial, Inc.",Closed with explanation,Yes,Yes,0
1283385,Consumer loan,Vehicle loan,Managing the loan or lease,,FL,33813,Toyota Motor Credit Corporation,Closed with explanation,Yes,,0
1283373,Credit reporting,,Incorrect information on credit report,Account status,NC,28625,Equifax,Closed with explanation,Yes,,0
1283369,Debt collection,Medical,False statements or representation,Attempted to collect wrong amount,FL,33458,"Jon Barry and Associates, Inc.",Closed with non-monetary relief,Yes,,0
1283368,Credit card,,Other,,MD,21830,JPMorgan Chase,Closed with explanation,Yes,,0
1283392,Debt collection,"Other (phone, health club, etc.)",Disclosure verification of debt,Not given enough info to verify debt,TN,38116,"Enhanced Recovery Company, LLC",Closed with non-monetary relief,Yes,Yes,0
1283388,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,OH,44708,U.S. Bancorp,Closed with explanation,Yes,,0
1283401,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt was paid,NY,13317,"Overton, Russell, Doerr and Donovan, LLP",Closed with explanation,Yes,,0
1283514,Mortgage,Home equity loan or line of credit,"Loan servicing, payments, escrow account",,CA,92119,Ocwen,Closed with explanation,Yes,Yes,1
1283167,Credit reporting,,Incorrect information on credit report,Public record,AP,96517,Equifax,In progress,Yes,,0
1283429,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,MD,20814,Nationstar Mortgage,Closed with explanation,Yes,,0
1283418,Bank account or service,Other bank product/service,"Account opening, closing, or management",,CA,94549,Wells Fargo,Closed with explanation,Yes,,0
1283404,Credit reporting,,Unable to get credit report/credit score,Problem getting my free annual report,CA,94002,Equifax,Closed with explanation,Yes,,0
1283411,Credit card,,Other,,NC,27513,Wells Fargo,Closed with explanation,Yes,Yes,0
1283409,Credit reporting,,Incorrect information on credit report,Information is not mine,NY,13367,Equifax,Closed with explanation,Yes,,0
1283513,Credit reporting,,Improper use of my credit report,Report shared with employer w/o consent,NY,13090,"Sterling Infosystems, Inc.",Closed with explanation,Yes,,1
1283512,Credit reporting,,Credit reporting company's investigation,Problem with statement of dispute,MI,48317,Equifax,Closed with explanation,Yes,,1
